Date,Close,High,Low,Open,Volume
2015-08-07,2.772120,3.536610,2.521120,2.831620,164329
2015-08-08,0.753325,2.798810,0.714725,2.793760,674188
2015-08-09,0.701897,0.879810,0.629191,0.706136,532170
2015-08-10,0.708448,0.729854,0.636546,0.713989,405283
2015-08-11,1.067860,1.131410,0.663235,0.708087,1463100
2015-08-12,1.217440,1.289940,0.883608,1.058750,2150620
2015-08-13,1.827670,1.965070,1.171990,1.222240,4068680
2015-08-14,1.827670,2.261880,1.754750,1.810920,4637030
2015-08-15,1.688900,1.879660,1.570980,1.802630,2554360
2015-08-16,1.566030,1.700000,1.089600,1.684350,1285060
2015-08-17,1.203610,1.582170,1.185340,1.582170,1183880
2015-08-18,1.087050,1.331160,1.085390,1.216550,1486240
2015-08-19,1.258860,1.327290,1.169720,1.173870,1387540
2015-08-20,1.464920,1.528460,1.253360,1.253360,2818130
2015-08-21,1.395290,1.556420,1.352800,1.477520,2020970
2015-08-22,1.379230,1.481680,1.351300,1.396290,948310
2015-08-23,1.352590,1.411160,1.302880,1.377780,1589300
2015-08-24,1.231320,1.358280,1.231320,1.345590,924920
2015-08-25,1.137850,1.243170,1.135760,1.228610,1291260
2015-08-26,1.182550,1.204560,1.103980,1.133790,686662
2015-08-27,1.147240,1.192780,1.146670,1.176860,612606
2015-08-28,1.311750,1.334000,1.097310,1.151700,1382360
2015-08-29,1.317410,1.329790,1.272090,1.311750,551687
2015-08-30,1.316200,1.354080,1.257000,1.317410,653038
2015-08-31,1.359030,1.396150,1.203130,1.320160,1447840
2015-09-01,1.351270,1.394120,1.336060,1.353480,778862
2015-09-02,1.294790,1.353010,1.267880,1.351270,883769
2015-09-03,1.264930,1.309980,1.259270,1.294790,702991
2015-09-04,1.274410,1.305130,1.244380,1.269870,474391
2015-09-05,1.338810,1.377990,1.267260,1.279610,458006
2015-09-06,1.296650,1.389720,1.286970,1.338810,477150
2015-09-07,1.286390,1.319700,1.275330,1.296650,477307
2015-09-08,1.239390,1.309530,1.227270,1.286390,563711
2015-09-09,1.208170,1.256220,1.183280,1.239390,536084
2015-09-10,1.165640,1.216660,1.157930,1.208170,581884
